source_run,excluded_from_performance,sample_unix_ns,timestamp,gpu_utilization_percent,memory_controller_utilization_percent,vram_used_mib,vram_total_mib,power_w,sm_clock_mhz,memory_clock_mhz
ncu,True,1786540436620663900,2026/08/12 23:13:56.684,0.0,0.0,19489.0,32607.0,32.35,705.0,405.0
ncu,True,1786540437207106300,2026/08/12 23:13:57.271,0.0,0.0,19489.0,32607.0,24.8,585.0,405.0
ncu,True,1786540437779538400,2026/08/12 23:13:57.843,0.0,0.0,19489.0,32607.0,24.47,502.0,405.0
ncu,True,1786540438364991300,2026/08/12 23:13:58.428,19.0,7.0,19489.0,32607.0,35.18,1402.0,810.0
ncu,True,1786540438950657900,2026/08/12 23:13:59.014,0.0,0.0,19489.0,32607.0,26.6,765.0,405.0
ncu,True,1786540439537568100,2026/08/12 23:13:59.601,0.0,0.0,19489.0,32607.0,25.12,630.0,405.0
ncu,True,1786540440109921600,2026/08/12 23:14:00.173,0.0,0.0,19489.0,32607.0,24.62,555.0,405.0
ncu,True,1786540440697814500,2026/08/12 23:14:00.761,69.0,14.0,19489.0,32607.0,81.34,2595.0,13801.0
ncu,True,1786540441283094700,2026/08/12 23:14:01.346,0.0,0.0,19489.0,32607.0,111.89,2880.0,13801.0
ncu,True,1786540441854540600,2026/08/12 23:14:01.918,0.0,0.0,19495.0,32607.0,85.46,2880.0,13801.0
ncu,True,1786540442441462900,2026/08/12 23:14:02.505,0.0,0.0,19495.0,32607.0,71.89,1102.0,7001.0
ncu,True,1786540443027330100,2026/08/12 23:14:03.090,0.0,0.0,19495.0,32607.0,59.61,712.0,7001.0
