timestamp, uuid, memory.used [MiB], utilization.gpu [%], power.draw [W]
2026/09/10 10:03:12.863, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.58 W
2026/09/10 10:03:13.063, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.52 W
2026/09/10 10:03:13.264, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.52 W
2026/09/10 10:03:13.465, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.52 W
2026/09/10 10:03:13.665, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.52 W
2026/09/10 10:03:13.866, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.52 W
2026/09/10 10:03:14.066, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.68 W
2026/09/10 10:03:14.266, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.68 W
2026/09/10 10:03:14.467, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.68 W
2026/09/10 10:03:14.668, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.68 W
2026/09/10 10:03:14.868, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.68 W
2026/09/10 10:03:15.069, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.54 W
2026/09/10 10:03:15.270, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.54 W
2026/09/10 10:03:15.470, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.54 W
2026/09/10 10:03:15.671, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.54 W
2026/09/10 10:03:15.872, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.54 W
2026/09/10 10:03:16.072, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.47 W
2026/09/10 10:03:16.272, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.47 W
2026/09/10 10:03:16.473, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.47 W
2026/09/10 10:03:16.673, GPU-93ca6d88-17d3-9314-b7e9-e3185c3a3e48, 268 MiB, 0 %, 18.47 W
